كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه كلاس درس,نام كلاس درس,زمانبندي تشكيل كلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاكنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ كلاس,گروه آموزشي,دانشكده,واحد,استان,Column1
7000005125,روش تحقيق,نظري,2,0,163330706,,,مهدي محرابي,,0,,1405/09/21 از 13:00 تا 15:00 ,,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000002172,روش تحقيق,نظري,2,0,163330705,,,مهدي محرابي,,0,,1405/10/21 از 13:00 تا 15:00 ,,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000005125,روش تحقيق,نظري,2,0,163330704,,,مهدي محرابي,,0,,1405/10/21 از 13:00 تا 15:00 ,,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000038369,يادگيري عميق,نظري,3,0,163330703,,چهارشنبه  از 10:15 تا 11:45 چهارشنبه  از  از 12:30 تا 13:15 ,محمد علي اسدي,,9,,, مهندسي يك-117,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
4628150474,معماري‌ كامپيوتر,نظري,3,0,16351551188,,سه شنبه  از 15:45 تا 18:30 ,جواد حسن لي,,45,,1405/10/21 از 13:00 تا 15:00 , مهندسي يك-304,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000002166,زبان تخصصي پيشرفته,نظري,2,0,163333652,,چهارشنبه  از 10:15 تا 11:45 چهارشنبه  از  از 12:30 تا 13:15 ,امير رضا استخريان حقيقي,,12,,1405/10/15 از 13:00 تا 15:00 , مهندسي يك-210,دكتري تخصصي,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
1603116857,تجارت الكترونيكي,نظري,3,0,163330702,,چهارشنبه  از 07:30 تا 10:15 ,امير رضا استخريان حقيقي,,25,,1405/10/15 از 13:00 تا 15:00 , مهندسي يك-20كارگاه كامپيوتر,كارشناسي ارشد ناپيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000031560,سيگنال ها و سيستم ها,نظري,3,0,1635155025,,,امين طوسي,,0,,1405/10/14 از 15:00 تا 16:30 ,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
4628164737,مهندسي نرم افزار,نظري,3,0,1635155217,,دوشنبه  از 10:15 تا 11:45 دوشنبه  از  از 12:15 تا 13:15 ,احمد مصلي نژاد,,45,,1405/10/15 از 15:00 تا 16:45 , مهندسي يك-15,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
4628164737,مهندسي نرم افزار,نظري,3,0,1635155216,,دوشنبه  از 07:30 تا 10:15 ,احمد مصلي نژاد,,45,,1405/10/15 از 15:00 تا 16:30 , مهندسي يك-15,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
